Subject,StartTime,EndTime,Condition,Code,Duration
1299,2022-02-04 06:37:31am,2022-02-04 06:55:53am,climate,31263782,18.366666666667
1326,2022-02-04 06:44:14am,2022-02-04 06:55:54am,climate,18925582,11.666666666667
1315,2022-02-04 06:41:04am,2022-02-04 06:56:02am,climate,84189277,14.966666666667
1345,2022-02-04 06:49:40am,2022-02-04 06:57:13am,climate,75711355,7.55
1239,2022-02-04 06:16:03am,2022-02-04 06:57:16am,climate,87976093,41.216666666667
1327,2022-02-04 06:45:35am,2022-02-04 06:57:31am,climate,50077037,11.933333333333
1305,2022-02-04 06:37:56am,2022-02-04 06:57:46am,climate,13821529,19.833333333333
1333,2022-02-04 06:47:52am,2022-02-04 06:58:20am,climate,43978000,10.466666666667
1330,2022-02-04 06:44:46am,2022-02-04 06:58:51am,climate,02155298,14.083333333333
1303,2022-02-04 06:37:19am,2022-02-04 06:59:30am,climate,25748441,22.183333333333
1321,2022-02-04 06:44:10am,2022-02-04 06:59:43am,climate,11342829,15.55
1346,2022-02-04 06:52:06am,2022-02-04 06:59:53am,climate,16369761,7.7833333333333
1325,2022-02-04 06:45:05am,2022-02-04 07:01:40am,climate,29152424,16.583333333333
1319,2022-02-04 06:41:40am,2022-02-04 07:01:40am,climate,46195504,20
1357,2022-02-04 06:56:06am,2022-02-04 07:02:41am,climate,09252455,6.5833333333333
1370,2022-02-04 07:00:42am,2022-02-04 07:03:21am,climate,15683447,2.65
1367,2022-02-04 06:59:23am,2022-02-04 07:05:06am,climate,59510082,5.7166666666667
1340,2022-02-04 06:50:15am,2022-02-04 07:05:07am,climate,45970710,14.866666666667
1341,2022-02-04 06:50:50am,2022-02-04 07:05:13am,climate,57459258,14.383333333333
1343,2022-02-04 06:51:04am,2022-02-04 07:05:37am,climate,25420418,14.55
1328,2022-02-04 06:45:36am,2022-02-04 07:05:51am,climate,71289142,20.25
1347,2022-02-04 06:53:02am,2022-02-04 07:05:52am,climate,04466036,12.833333333333
1362,2022-02-04 06:57:26am,2022-02-04 07:06:22am,climate,51355710,8.9333333333333
1339,2022-02-04 06:50:23am,2022-02-04 07:06:29am,climate,89951036,16.1
1371,2022-02-04 06:41:13am,2022-02-04 07:07:49am,climate,61594522,26.6
1369,2022-02-04 06:59:40am,2022-02-04 07:09:02am,climate,97696225,9.3666666666667
1375,2022-02-04 07:02:23am,2022-02-04 07:09:27am,climate,41352983,7.0666666666667
1352,2022-02-04 06:54:27am,2022-02-04 07:09:31am,climate,35125940,15.066666666667
1376,2022-02-04 07:03:16am,2022-02-04 07:09:58am,climate,04824696,6.7
1349,2022-02-04 06:53:42am,2022-02-04 07:10:08am,climate,55755328,16.433333333333
1338,2022-02-04 06:50:21am,2022-02-04 07:10:11am,climate,82871404,19.833333333333
1372,2022-02-04 07:00:37am,2022-02-04 07:10:22am,climate,53589230,9.75
1332,2022-02-04 06:47:36am,2022-02-04 07:10:45am,climate,75012223,23.15
1380,2022-02-04 07:05:17am,2022-02-04 07:11:00am,climate,46792681,5.7166666666667
1388,2022-02-04 07:09:09am,2022-02-04 07:13:10am,climate,42600992,4.0166666666667
NA,2022-02-04 07:01:07am,2022-02-04 07:13:22am,climate,92527144,12.25
1374,2022-02-04 07:01:15am,2022-02-04 07:13:42am,climate,04745212,12.45
1373,2022-02-04 07:01:09am,2022-02-04 07:14:43am,climate,09249365,13.566666666667
1386,2022-02-04 07:06:07am,2022-02-04 07:15:54am,climate,51264784,9.7833333333333
1363,2022-02-04 06:57:08am,2022-02-04 07:16:53am,climate,50286272,19.75
1383,2022-02-04 07:06:06am,2022-02-04 07:17:18am,climate,33444576,11.2
1406,2022-02-04 07:14:44am,2022-02-04 07:18:39am,climate,11255585,3.9166666666667
1389,2022-02-04 07:09:41am,2022-02-04 07:19:46am,climate,92821053,10.083333333333
1402,2022-02-04 07:13:18am,2022-02-04 07:20:06am,climate,34638908,6.8
1398,2022-02-04 07:12:24am,2022-02-04 07:20:46am,climate,77709359,8.3666666666667
1399,2022-02-04 07:12:47am,2022-02-04 07:20:49am,climate,81163968,8.0333333333333
1379,2022-02-04 07:04:57am,2022-02-04 07:22:20am,climate,96804324,17.383333333333
1411,2022-02-04 07:15:40am,2022-02-04 07:23:06am,climate,49963356,7.4333333333333
1395,2022-02-04 07:11:38am,2022-02-04 07:23:46am,climate,40019513,12.133333333333
1404,2022-02-04 07:13:00am,2022-02-04 07:27:14am,climate,57281311,14.233333333333
1405,2022-02-04 07:14:28am,2022-02-04 07:29:05am,climate,11897694,14.616666666667
1433,2022-02-04 07:26:39am,2022-02-04 07:32:24am,climate,14616561,5.75
1390,2022-02-04 07:09:10am,2022-02-04 07:34:09am,climate,52067015,24.983333333333
1416,2022-02-04 07:19:14am,2022-02-04 07:34:23am,climate,04379915,15.15
1413,2022-02-04 07:17:42am,2022-02-04 07:34:26am,climate,99458594,16.733333333333
1419,2022-02-04 07:19:08am,2022-02-04 07:36:31am,climate,15611441,17.383333333333
1445,2022-02-04 07:31:43am,2022-02-04 07:36:51am,climate,03813271,5.1333333333333
1447,2022-02-04 07:32:22am,2022-02-04 07:37:00am,climate,91539489,4.6333333333333
1441,2022-02-04 07:29:48am,2022-02-04 07:38:06am,climate,02874385,8.3
1450,2022-02-04 07:33:19am,2022-02-04 07:40:55am,climate,01583425,7.6
1432,2022-02-04 07:26:20am,2022-02-04 07:41:20am,climate,90363990,15
1400,2022-02-04 07:12:29am,2022-02-04 07:41:22am,climate,93307499,28.883333333333
1430,2022-02-04 07:25:55am,2022-02-04 07:41:28am,climate,19871228,15.55
1410,2022-02-04 07:14:43am,2022-02-04 07:41:41am,climate,16178365,26.966666666667
1401,2022-02-04 07:12:36am,2022-02-04 07:42:43am,climate,16355811,30.116666666667
1449,2022-02-04 07:32:44am,2022-02-04 07:43:33am,climate,32568134,10.816666666667
1460,2022-02-04 07:38:52am,2022-02-04 07:43:45am,climate,14084698,4.8833333333333
1455,2022-02-04 07:34:39am,2022-02-04 07:43:47am,climate,74563439,9.1333333333333009
1435,2022-02-04 07:26:18am,2022-02-04 07:44:30am,climate,62080493,18.2
1422,2022-02-04 07:20:44am,2022-02-04 07:46:11am,climate,37746783,25.45
1452,2022-02-04 07:33:45am,2022-02-04 07:46:51am,climate,38038473,13.1
1463,2022-02-04 07:41:46am,2022-02-04 07:48:08am,climate,50011350,6.3666666666667
1478,2022-02-04 07:45:43am,2022-02-04 07:49:04am,climate,35027011,3.35
1477,2022-02-04 07:45:30am,2022-02-04 07:49:11am,climate,95740722,3.6833333333333
1457,2022-02-04 07:34:44am,2022-02-04 07:49:24am,climate,02879472,14.666666666667
1461,2022-02-04 07:40:02am,2022-02-04 07:49:50am,climate,80794472,9.8
1464,2022-02-04 07:42:18am,2022-02-04 07:49:52am,climate,77898377,7.5666666666667
1467,2022-02-04 07:43:38am,2022-02-04 07:50:15am,climate,04543338,6.6166666666667
