Subject,StartTime,EndTime,Condition,Code,Duration
2427,2022-02-04 06:46:08am,2022-02-04 07:20:23am,neutral,62923443,34.25
2388,2022-02-04 06:39:44am,2022-02-04 07:20:47am,neutral,48699839,41.05
2480,2022-02-04 07:14:00am,2022-02-04 07:21:39am,neutral,15386634,7.65
2451,2022-02-04 07:02:56am,2022-02-04 07:22:14am,neutral,86085686,19.3
2485,2022-02-04 07:17:00am,2022-02-04 07:22:18am,neutral,58946012,5.3
2454,2022-02-04 07:06:49am,2022-02-04 07:23:01am,neutral,90833732,16.2
2468,2022-02-04 07:11:07am,2022-02-04 07:25:16am,neutral,94308004,14.15
2434,2022-02-04 06:57:26am,2022-02-04 07:25:33am,neutral,52177400,28.116666666667
2470,2022-02-04 07:11:39am,2022-02-04 07:26:55am,neutral,25088496,15.266666666667
2481,2022-02-04 07:14:22am,2022-02-04 07:27:24am,neutral,85429133,13.033333333333
2461,2022-02-04 07:06:29am,2022-02-04 07:28:27am,neutral,85214229,21.966666666667
2469,2022-02-04 07:10:47am,2022-02-04 07:28:37am,neutral,33200177,17.833333333333
2475,2022-02-04 07:13:19am,2022-02-04 07:29:52am,neutral,37999068,16.55
2467,2022-02-04 07:10:53am,2022-02-04 07:30:41am,neutral,47228930,19.8
2437,2022-02-04 06:58:07am,2022-02-04 07:31:19am,neutral,97178865,33.2
2476,2022-02-04 07:13:03am,2022-02-04 07:32:53am,neutral,76918516,19.833333333333
2509,2022-02-04 07:28:54am,2022-02-04 07:36:10am,neutral,98321134,7.2666666666667
2498,2022-02-04 07:25:45am,2022-02-04 07:37:19am,neutral,30355264,11.566666666667
2512,2022-02-04 07:33:46am,2022-02-04 07:38:11am,neutral,80436830,4.4166666666667
2474,2022-02-04 07:11:33am,2022-02-04 07:38:52am,neutral,07736522,27.316666666667
2515,2022-02-04 07:34:57am,2022-02-04 07:41:12am,neutral,13937929,6.25
2502,2022-02-04 07:25:24am,2022-02-04 07:43:37am,neutral,51211479,18.216666666667
2459,2022-02-04 07:04:26am,2022-02-04 07:43:48am,neutral,76660651,39.366666666667
2505,2022-02-04 07:30:04am,2022-02-04 07:44:09am,neutral,47163045,14.083333333333
2495,2022-02-04 07:25:08am,2022-02-04 07:44:40am,neutral,33824431,19.533333333333
2522,2022-02-04 07:37:41am,2022-02-04 07:47:23am,neutral,20529609,9.7
2533,2022-02-04 07:45:07am,2022-02-04 07:47:31am,neutral,22555207,2.4
2521,2022-02-04 07:37:07am,2022-02-04 07:47:38am,neutral,58390559,10.516666666667
2496,2022-02-04 07:25:52am,2022-02-04 07:48:26am,neutral,70206845,22.566666666667
